# Wave 2 (launch as wave-1 slots free). key | brief hint | one-line focus
cheng2024draco        | eval_harness,generation_retrieval | dataflow-guided retrieval = closest inference-time import-graph analog
wu2024repoformer      | eval_harness | selective retrieval + CrossCodeLongEval benchmark
yuan2025nsa           | kernels,masks | DeepSeek Native Sparse Attention: natively-trained block sparsity (learned importance vs our graph-dictated ranges)
lu2025moba            | kernels,masks | Kimi MoBA: router-selected block attention, trained
wang2024flashmask     | kernels,masks | column-wise sparse mask; can't express arbitrary A->B rectangles (motivates our bit-packed grants)
pagliardini2023sparseflash | kernels,masks | runtime sparse flash, content/hash-driven vs graph-driven
liu2024repobench      | eval_harness | OUR headline code benchmark — describe splits/tasks + how we score cross-doc Δnll
yang2018hotpotqa      | eval_harness | OUR headline multi-hop benchmark — bridge subset, supporting facts, our cross-doc construction
kocetkov2022stack     | data_pipelines | The Stack: our code corpus — dedup, licensing, provenance
saier2023unarxive     | data_pipelines | unarXive 2022: our arXiv citation-graph corpus — resolution, coverage
consonni2019wikilinkgraphs | data_pipelines | WikiLinkGraphs: our wiki hyperlink-edge source
taylor2022galactica   | generation_retrieval,masks | Galactica: citation-prediction generation = closest "generated link fetches target" (memorized, no attention)
gutierrez2024hipporag | eval_harness,generation_retrieval | HippoRAG: PPR-over-KG multi-hop memory, external at inference
liu2024lostmiddle     | packing_density,masks | positional utilization U-curve — motivates direct edge over buried context
xu2024retrievalmeetslong | generation_retrieval | retrieval-vs-long-context — central contrast we fuse at training
